dist_type,censor_level,method,err_mean_rel,err_sd_rel,mae_quant_rel,ks,kl
gamma,0.2,lod_half,0.01615304348589122,0.03286503294939304,0.08784087393063973,0.14900775862068966,4.253200650095717
gamma,0.2,lod_sqrt2,0.004908051741587697,0.007896719078081217,0.1170644490366455,0.1201,4.18636738121457
gamma,0.2,nonparametric,0.0555489175803685,0.12228136595130233,0.24188217491994024,0.16820517241379312,0.4473175930339405
gamma,0.2,parametric,0.007247527192475679,0.014269878279746474,0.016163303612434034,0.014897413793103447,0.09558484847697056
gamma,0.4,lod_half,0.039119531180577996,0.05212983588719074,0.2944239927880481,0.2807896551724138,8.72903960442662
gamma,0.4,lod_sqrt2,0.023273997013342682,0.04036528128396226,0.45792227027796356,0.2420353448275862,8.618807202770961
gamma,0.4,nonparametric,0.15900357234002402,0.259137061237015,0.3792039277621138,0.3347221982758621,0.8696092748035466
gamma,0.4,parametric,0.00798341391132714,0.012338293757994244,0.018022244525396396,0.015743103448275862,0.09414263638441112
gamma,0.6,lod_half,0.061277942969775984,0.04299897626120486,0.6767665545709062,0.3924620689655172,13.30715083110019
gamma,0.6,lod_sqrt2,0.07973339488598807,0.11876426610383851,1.0284183759058414,0.39281724137931034,13.188604261628072
gamma,0.6,nonparametric,0.3084319511776575,0.34862244940613357,0.5071243705654721,0.49765646551724135,1.2586024765941024
gamma,0.6,parametric,0.008643998363216006,0.012821226463502583,0.020915868892855807,0.017499999999999998,0.09667577271747362
gamma,0.8,lod_half,0.08315242208008941,0.10682204156577119,1.3784483467241329,0.48330689655172415,17.9142011610094
gamma,0.8,lod_sqrt2,0.2369435096715329,0.2790640796002029,2.0656334702904897,0.5978413793103448,17.860161197756117
gamma,0.8,nonparametric,0.5153776462086356,0.320078379745779,0.6020075227604458,0.6551245689655173,1.5926483189602276
gamma,0.8,parametric,0.01291927004307184,0.014713057435298112,0.028958045872129586,0.02238448275862069,0.10074213817300477
gamma,0.95,lod_half,0.2326865864636644,0.4122227198348998,2.9424025299429855,0.6332620689655172,21.433549938266165
gamma,0.95,lod_sqrt2,0.6806559010186573,0.5624819988663228,4.288215966297994,0.829025,21.539980858454523
gamma,0.95,nonparametric,0.7229051035281034,0.08080023414046694,0.6923262877997296,0.7619808189655173,1.7688698292035188
gamma,0.95,parametric,0.036222117098439456,0.020339277926954644,0.06578126813767306,0.04274224137931035,0.11808062054360899
gamma,0.98,lod_half,0.4459585296220917,0.5777701522642357,3.984123805331048,0.7418629310344828,22.173967329659988
gamma,0.98,lod_sqrt2,1.0170679275446093,0.6965704856090691,5.799810635323026,0.9041241379310345,22.34117348828603
gamma,0.98,nonparametric,0.7640399672130784,0.04098828480181638,0.7370313310848718,0.7772866379310345,1.7839366879115302
gamma,0.98,parametric,0.07244959407344666,0.027947725859027123,0.123711945303238,0.07368534482758621,0.19568624221333303
gamma,0.99,lod_half,0.6181591784593594,0.6753651529463895,4.7407531576473465,0.8015043103448276,22.44902618202896
gamma,0.99,lod_sqrt2,1.2729573570796457,0.7712102770043275,6.903822570213712,0.9374913793103448,22.639059878348373
gamma,0.99,nonparametric,0.7710682871238878,0.056975485004994025,0.745316561832739,0.7800036637931034,1.7862043639317746
gamma,0.99,parametric,0.11594640440994829,0.03846542708750047,0.2134700107782112,0.10844137931034482,0.3251390645322491
lognormal,0.2,lod_half,0.014682662060983917,0.03078904225332781,0.05980246979614234,0.1484917910447761,4.262934085936833
lognormal,0.2,lod_sqrt2,0.0054423738943357,0.009045889224509402,0.07666793388949322,0.1277776119402985,4.193658490410034
lognormal,0.2,nonparametric,0.04675996559682243,0.09583022148555904,0.23791842975486116,0.1718339552238806,0.4543184243441892
lognormal,0.2,parametric,0.015991270789702222,0.10008144861117478,0.05445611677977686,0.023800746268656716,0.1074312823612405
lognormal,0.4,lod_half,0.030428064262448387,0.04700264749632038,0.19938675774797626,0.26831641791044775,8.774278344454936
lognormal,0.4,lod_sqrt2,0.023100032624555882,0.017237685121593002,0.316951940247082,0.27027462686567166,8.680548407316707
lognormal,0.4,nonparametric,0.12351200535597451,0.16703708137096512,0.364633167962241,0.33624832089552237,0.8461538241147386
lognormal,0.4,parametric,0.018105422139690224,0.06448848112151077,0.03156627068698167,0.020215671641791045,0.09467650953518868
lognormal,0.6,lod_half,0.0487079870454944,0.04454974218705654,0.5041212360619889,0.3943850746268657,13.335566041318643
lognormal,0.6,lod_sqrt2,0.07966510662312178,0.04209177966989743,0.7784554310483233,0.43667313432835825,13.267881014378547
lognormal,0.6,nonparametric,0.23681206199198337,0.2128027948507667,0.4808266931763324,0.49353003731343287,1.187314222087534
lognormal,0.6,parametric,0.016168416965600632,0.07341774130862079,0.030295804057064755,0.018986567164179104,0.09424695495902848
lognormal,0.8,lod_half,0.1250539165365342,0.05761942609221385,1.2379608450027249,0.5604664179104478,17.982677451459615
lognormal,0.8,lod_sqrt2,0.28476601875502633,0.13534397725223124,1.8775580530253226,0.644636567164179,17.983456846514844
lognormal,0.8,nonparametric,0.4047166644928486,0.20363878672753957,0.5703380861002088,0.6400455223880597,1.45437893450576
lognormal,0.8,parametric,0.01700388164822315,0.06802300922072141,0.0360998897535237,0.022396268656716418,0.09493912980230217
lognormal,0.95,lod_half,0.6297079768674956,0.24629329726512006,3.803461313879799,0.7717731343283581,21.538543114972164
lognormal,0.95,lod_sqrt2,1.168907714517128,0.349714480132787,5.539330951696555,0.874744776119403,21.622773658848843
lognormal,0.95,nonparametric,0.583460341051515,0.09204700737358189,0.6610583566567272,0.7277727611940299,1.5640203633606509
lognormal,0.95,parametric,0.042215163209219114,0.06756007802701602,0.07689287289899616,0.046450746268656716,0.1106361197078768
lognormal,0.98,lod_half,1.2724140439132012,0.3839801785271328,6.497142148537539,0.8501246268656717,22.293052499910157
