dist_type,censor_level,method,err_mean_rel,err_sd_rel,mae_quant_rel,ks,kl
gamma,0.2,parametric,0.0072475271924756,0.0142698782797464,0.016163303612434,0.0148974137931034,0.0955848484769705
gamma,0.4,parametric,0.0079834139113271,0.0123382937579942,0.0180222445253963,0.0157431034482758,0.0941426363844111
gamma,0.6,parametric,0.008643998363216,0.0128212264635025,0.0209158688928558,0.0174999999999999,0.0966757727174736
gamma,0.8,parametric,0.0129192700430718,0.0147130574352981,0.0289580458721295,0.0223844827586206,0.1007421381730047
gamma,0.95,parametric,0.0362221170984394,0.0203392779269546,0.065781268137673,0.0427422413793103,0.1180806205436089
gamma,0.98,parametric,0.0724495940734466,0.0279477258590271,0.123711945303238,0.0736853448275862,0.195686242213333
gamma,0.99,parametric,0.1159464044099482,0.0384654270875004,0.2134700107782112,0.1084413793103448,0.3251390645322491
lognormal,0.2,parametric,0.0159912707897022,0.1000814486111747,0.0544561167797768,0.0238007462686567,0.1074312823612405
lognormal,0.4,parametric,0.0181054221396902,0.0644884811215107,0.0315662706869816,0.020215671641791,0.0946765095351886
lognormal,0.6,parametric,0.0161684169656006,0.0734177413086207,0.0302958040570647,0.0189865671641791,0.0942469549590284
lognormal,0.8,parametric,0.0170038816482231,0.0680230092207214,0.0360998897535237,0.0223962686567164,0.0949391298023021
lognormal,0.95,parametric,0.0422151632092191,0.067560078027016,0.0768928728989961,0.0464507462686567,0.1106361197078768
lognormal,0.98,parametric,0.078791522949721,0.0526429058978881,0.129751286601659,0.0723373134328358,0.1543839336778291
lognormal,0.99,parametric,0.1248646245662137,0.0643405976365716,0.1971334891696358,0.1055059701492537,0.2043332057404364
